,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,scores
0,100,2,5,7,32.0,gini,0.9340546875
1,100,2,1,log2,23.0,gini,0.9377265625
2,100,4,1,7,18.0,entropy,0.9379843749999999
3,100,4,1,6,32.0,entropy,0.9392734375
4,100,4,1,7,18.0,gini,0.9359453125
5,100,2,2,log2,,entropy,0.9381796874999999
6,100,2,2,,23.0,gini,0.93303125
7,100,10,2,7,23.0,gini,0.936171875
8,100,10,1,6,32.0,gini,0.9370937500000001
9,100,4,2,7,23.0,entropy,0.93928125
10,100,4,2,5,23.0,entropy,0.9383359375000001
11,100,4,1,sqrt,32.0,entropy,0.939140625
12,100,10,5,log2,32.0,entropy,0.93503125
13,100,10,2,sqrt,32.0,entropy,0.936140625
14,100,4,5,7,32.0,entropy,0.9362812500000001
15,100,4,1,log2,32.0,entropy,0.9391718749999999
16,100,4,1,7,32.0,gini,0.9387890625
17,100,4,5,6,,entropy,0.9362187499999999
18,100,4,5,log2,23.0,entropy,0.9342109375
19,100,4,1,sqrt,23.0,entropy,0.9380234375000001
20,100,10,5,,,gini,0.9297734375
21,100,10,2,7,18.0,gini,0.9340624999999999
22,100,2,5,log2,,entropy,0.9345625
23,100,10,2,,,gini,0.9313984375000001
24,100,10,2,log2,32.0,entropy,0.9361640625
25,100,10,1,,18.0,entropy,0.9334843750000001
26,100,4,2,,32.0,gini,0.9337890625
27,100,4,5,5,,entropy,0.93471875
28,100,2,1,5,23.0,entropy,0.939640625
29,100,2,5,sqrt,32.0,gini,0.9323750000000001
30,100,4,2,5,,gini,0.9373359375
31,100,2,1,,23.0,gini,0.933734375
32,100,2,2,5,23.0,gini,0.9371484375
33,100,2,5,5,32.0,gini,0.93365625
34,100,2,2,sqrt,23.0,gini,0.9365546874999999
35,100,2,1,log2,32.0,entropy,0.938828125
36,100,2,5,log2,32.0,entropy,0.9346406249999999
37,100,2,2,,18.0,entropy,0.9350546874999999
38,100,2,5,6,23.0,entropy,0.9357031250000001
39,100,10,1,log2,,entropy,0.9372031249999999
40,100,2,5,6,32.0,gini,0.9337265625000001
41,100,2,5,sqrt,,gini,0.9324921875000001
42,100,4,1,log2,23.0,entropy,0.9384296875
43,100,4,1,5,23.0,gini,0.9377109375
44,100,2,1,5,18.0,entropy,0.9372812500000001
45,100,10,5,7,18.0,gini,0.9328125
46,100,4,2,7,32.0,gini,0.9381796875000001
47,100,4,5,7,32.0,gini,0.9339140625000001
48,100,2,1,,32.0,entropy,0.937125
49,100,4,1,7,23.0,entropy,0.939875
