,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,scores
0,100,4,1,7,32.0,entropy,0.9386721407983195
1,100,10,1,6,,gini,0.9384674087998693
2,100,10,2,log2,23.0,gini,0.9366401401608397
3,100,2,2,5,,entropy,0.9386636283263936
4,100,10,1,6,32.0,entropy,0.9384178826334406
5,100,2,5,log2,23.0,entropy,0.9356019790553531
6,100,10,1,7,18.0,gini,0.9360305227591862
7,100,2,2,log2,,gini,0.9376837259143572
8,100,2,5,,18.0,entropy,0.9320097575778019
9,100,10,1,log2,,entropy,0.9381263441351304
10,100,2,1,5,,gini,0.9404040206022428
11,100,2,2,,18.0,gini,0.9301238131815539
12,100,2,2,7,18.0,entropy,0.9380315810961172
13,100,2,2,7,23.0,gini,0.9377227913079018
14,100,10,2,log2,,entropy,0.9377007247764848
15,100,2,1,6,,gini,0.9405684866487073
16,100,2,1,log2,18.0,gini,0.9362877508551488
17,100,10,2,log2,,gini,0.9365280311723291
18,100,10,5,sqrt,32.0,gini,0.9350335149755891
19,100,2,5,5,,entropy,0.935534802510784
20,100,4,1,5,,gini,0.9395939067549236
21,100,4,5,,23.0,gini,0.9282540061646017
22,100,10,1,,18.0,gini,0.9297545374334719
23,100,10,5,5,23.0,entropy,0.9356459487667236
24,100,4,2,7,23.0,entropy,0.9383634555819664
25,100,4,5,5,32.0,gini,0.9352141946321144
26,100,10,5,6,23.0,gini,0.934545249809356
27,100,2,5,6,32.0,entropy,0.9360277366458567
28,100,4,2,6,,gini,0.9384427443691863
29,100,10,1,5,32.0,entropy,0.938514631775171
30,100,4,2,sqrt,32.0,gini,0.9371229700514581
31,100,2,2,6,23.0,gini,0.9380477113484977
32,100,4,5,,18.0,gini,0.9281246821445948
33,100,4,1,,23.0,entropy,0.9348139694187054
34,100,4,2,,23.0,entropy,0.9341100965449192
35,100,10,5,,32.0,gini,0.9285460455164236
36,100,2,5,sqrt,23.0,gini,0.9343298566800462
37,100,10,2,,32.0,gini,0.9310797595713085
38,100,2,5,5,,gini,0.9348134777432107
39,100,10,1,sqrt,32.0,entropy,0.9377128384810778
40,100,4,1,sqrt,23.0,gini,0.9386296924902189
41,100,2,1,sqrt,23.0,entropy,0.9393042514472058
42,100,2,5,6,18.0,gini,0.9343834971774992
43,100,10,2,sqrt,18.0,entropy,0.9357190008216806
44,100,4,2,,,gini,0.9313260770109432
45,100,10,1,6,32.0,gini,0.9376289609835556
46,100,4,5,log2,23.0,entropy,0.9358073477565625
47,100,10,1,5,,gini,0.9369289043677641
48,100,2,1,log2,23.0,entropy,0.9396315156762778
49,100,2,2,log2,23.0,gini,0.9377807856388536
