,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,scores
0,100,10,1,7,,gini,0.9029484851362982
1,100,2,2,sqrt,,gini,0.9016648584460771
2,100,2,1,7,,gini,0.9053018423424553
3,100,4,1,log2,18.0,entropy,0.900439554009323
4,100,10,2,log2,23.0,entropy,0.9019760403301464
5,100,10,2,,32.0,gini,0.8966469489109693
6,100,10,5,log2,18.0,entropy,0.8951104796113626
7,100,10,2,,32.0,entropy,0.9034930354665798
8,100,10,2,5,18.0,gini,0.8957523213251676
9,100,4,2,log2,,gini,0.9025595503342533
10,100,10,2,5,,gini,0.8999922496726537
11,100,4,5,5,32.0,entropy,0.9007118594344046
12,100,10,5,6,32.0,entropy,0.9023650432170583
13,100,10,5,6,,gini,0.8985141158652379
14,100,4,5,sqrt,18.0,entropy,0.8936323798463801
15,100,2,2,log2,23.0,entropy,0.9042127265519218
16,100,2,2,5,32.0,entropy,0.9080053013903345
17,100,4,2,sqrt,,gini,0.9022094447100386
18,100,10,1,5,,entropy,0.9051073881801571
19,100,10,5,6,23.0,entropy,0.9026178744789665
20,100,10,1,7,18.0,gini,0.8983584814245382
21,100,4,2,5,32.0,entropy,0.9059825737539722
22,100,2,5,6,32.0,gini,0.898027855637236
23,100,4,1,,,entropy,0.9079469413119415
24,100,2,5,7,,entropy,0.9039598480088562
25,100,2,2,,23.0,entropy,0.9057880647455312
26,100,2,1,log2,,entropy,0.9041932618449797
27,100,4,5,,23.0,gini,0.893476773774375
28,100,4,5,sqrt,32.0,gini,0.8941963929923574
29,100,4,1,sqrt,,gini,0.9037264890188755
30,100,10,5,,,gini,0.8938268604861266
31,100,10,5,6,32.0,gini,0.8980862157156289
32,100,10,2,5,23.0,gini,0.8999144702772298
33,100,10,5,sqrt,23.0,entropy,0.8988447530000178
34,100,2,2,,,entropy,0.90555469062558
35,100,4,5,log2,32.0,gini,0.894857657805686
36,100,10,1,sqrt,,entropy,0.9029290412330655
37,100,10,5,,23.0,gini,0.8950521554666493
38,100,4,1,6,,gini,0.9069744851583122
39,100,4,2,log2,23.0,entropy,0.9038042835442697
40,100,10,5,log2,32.0,entropy,0.8990002985521415
41,100,2,2,log2,,gini,0.9021510903053844
42,100,10,5,5,,entropy,0.9017232109594848
43,100,2,2,,18.0,entropy,0.902870734109569
44,100,2,5,5,,entropy,0.9000506210985243
45,100,10,1,log2,32.0,gini,0.9000700441980477
46,100,2,5,log2,32.0,entropy,0.8990781176637375
47,100,2,1,5,23.0,entropy,0.9082386792927784
48,100,4,2,sqrt,18.0,entropy,0.8991365212407952
49,100,10,5,,32.0,entropy,0.9017815710378777
