,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,scores
0,100,2,2,sqrt,32.0,entropy,0.9816948522858595
1,100,10,2,6,,gini,0.9800939574220291
2,100,4,2,5,32.0,entropy,0.9819014706364346
3,100,4,5,7,18.0,entropy,0.9801859998799506
4,100,10,1,7,,gini,0.9802912343249478
5,100,4,1,5,23.0,entropy,0.9820251687126543
6,100,10,1,log2,,entropy,0.9812765399974206
7,100,4,5,,,gini,0.9771720401909301
8,100,10,5,sqrt,32.0,entropy,0.9803605663527891
9,100,4,2,7,,entropy,0.9820421716450216
10,100,10,1,7,18.0,gini,0.9794019659439333
11,100,10,2,sqrt,,entropy,0.9810652010769892
12,100,2,5,sqrt,32.0,entropy,0.9802317449705251
13,100,2,2,5,32.0,gini,0.9808567259580749
14,100,4,1,log2,18.0,entropy,0.9807215908143492
15,100,2,5,7,23.0,gini,0.9793773414713902
16,100,10,2,7,18.0,gini,0.9792783760551862
17,100,2,1,6,18.0,gini,0.9800462484702729
18,100,2,5,log2,32.0,entropy,0.980304923580152
19,100,4,5,,18.0,entropy,0.9792733316962685
20,100,10,1,6,,entropy,0.9814668639918842
21,100,10,5,6,18.0,entropy,0.9800891693498752
22,100,10,2,5,32.0,gini,0.9799811783642607
23,100,10,1,sqrt,18.0,gini,0.9790162232747053
24,100,2,1,5,18.0,entropy,0.9811891752036335
25,100,10,5,6,23.0,gini,0.9793799303644791
26,100,4,1,sqrt,,entropy,0.9818572339653014
27,100,10,5,7,23.0,entropy,0.9808675044772599
28,100,2,2,sqrt,,entropy,0.9815216915903624
29,100,4,1,6,32.0,gini,0.9811176014252935
30,100,2,5,6,32.0,gini,0.9795406325605365
31,100,2,1,sqrt,32.0,entropy,0.9818923115089182
32,100,10,2,7,32.0,gini,0.9800200988754055
33,100,2,2,6,23.0,gini,0.9807359419232364
34,100,10,2,sqrt,23.0,gini,0.979787935070609
35,100,10,5,7,32.0,entropy,0.9808843911733929
36,100,2,1,5,32.0,entropy,0.9820689768927915
37,100,4,1,,23.0,gini,0.9779878854301136
38,100,4,1,5,32.0,gini,0.9810856610404516
39,100,2,2,5,18.0,gini,0.9797881624308161
40,100,2,2,5,,gini,0.9808454591306905
41,100,10,5,,,entropy,0.9797035799995774
42,100,2,5,5,,entropy,0.980570177900183
43,100,2,2,6,18.0,entropy,0.9811983345357765
44,100,2,2,5,32.0,entropy,0.9819157254656972
45,100,4,1,7,18.0,gini,0.9799786090683457
46,100,10,5,6,32.0,gini,0.9794029807861164
47,100,10,1,,,gini,0.9775178880005402
48,100,2,1,log2,,gini,0.9810759782661178
49,100,10,1,log2,23.0,gini,0.9798672211221762
