,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,gamma,eval_metric,colsample_bytree,colsample_bylevel,scores
0,0.6,0.1,7.0,10.0,0.01,0.25,auc,,0.8,0.9678678290148705
1,0.9,5.0,3.0,20.0,0.0001,0.75,auc,0.5,0.8,0.9541978752252186
2,1.0,,7.0,60.0,0.6,1.0,auc,0.6,0.6,0.9733050838460542
3,0.8,0.001,1.0,10.0,0.7,0.5,auc,0.5,0.4,0.9682364454246283
4,0.8,,5.0,3.0,0.4,0.0,auc,0.5,0.9,0.970847562473149
5,0.6,1.0,1.0,10.0,0.01,0.001,auc,,1.0,0.9698338366762522
6,1.0,5.0,0.5,60.0,0.01,1.0,auc,0.8,0.4,0.9660554170291042
7,,75.0,0.01,60.0,0.5,0.001,auc,0.9,0.9,0.9720148981010748
8,,10.0,0.5,,0.2,,auc,0.9,1.0,0.9744109944154534
9,0.8,10.0,7.0,3.0,0.5,0.0,auc,0.9,0.5,0.9723221413554894
10,0.6,,0.1,60.0,0.3,0.001,auc,0.6,0.4,0.9685436698051578
11,0.9,0.001,0.01,,,,auc,0.8,0.6,0.971830608770081
12,,0.001,0.1,3.0,0.3,0.25,auc,0.7,,0.9706325039912368
13,0.6,10.0,1.0,10.0,,0.001,auc,0.5,0.8,0.97229140523387
14,0.6,,1.0,40.0,0.7,0.5,auc,0.8,0.4,0.9698645916717566
15,0.8,0.1,7.0,,0.5,1.0,auc,0.5,0.6,0.9720456436596369
16,0.8,5.0,5.0,60.0,0.7,0.75,auc,,0.9,0.9735816334450904
17,1.0,100.0,1.0,,,0.001,auc,0.4,0.7,0.9718920432655501
18,0.5,20.0,5.0,40.0,,0.0,auc,,0.6,0.9727829047899796
19,,0.001,0.5,6.0,0.001,0.001,auc,,0.9,0.9657789146147804
20,,1.0,5.0,15.0,,0.0,auc,0.4,1.0,0.9735508407018161
21,0.9,20.0,0.1,20.0,,0.5,auc,,1.0,0.9741652517151053
22,0.5,50.0,5.0,15.0,0.7,0.001,auc,0.9,0.4,0.971707749216085
23,0.7,,10.0,15.0,0.0001,0.0,auc,0.9,0.5,0.9638128833610426
24,0.5,75.0,0.01,6.0,0.0001,1.0,auc,,0.4,0.9511872971204822
25,0.7,100.0,,20.0,0.01,0.75,auc,0.6,0.9,0.9511872971204822
26,0.5,,7.0,3.0,,,auc,0.9,0.7,0.9706017867435023
27,0.8,0.1,0.5,6.0,0.9,1.0,auc,,0.6,0.9683285122353498
28,0.8,10.0,5.0,6.0,,0.001,auc,0.8,0.8,0.9751482413903825
29,0.9,10.0,1.0,,0.3,1.0,auc,0.5,0.8,0.9744110463186371
30,1.0,100.0,5.0,20.0,0.001,0.5,auc,0.8,,0.9516173952104214
31,,50.0,5.0,,0.6,0.5,auc,0.4,,0.9750561415503622
32,0.9,0.1,0.01,,0.7,0.75,auc,,,0.9716156163467661
33,1.0,1.0,0.5,3.0,0.5,1.0,auc,0.5,0.4,0.9686665671069236
34,0.9,0.001,7.0,20.0,0.001,0.0,auc,,1.0,0.9685128581879987
35,1.0,,0.1,60.0,0.3,1.0,auc,1.0,,0.9742266437443334
36,0.8,1.0,1.0,,0.9,0.75,auc,0.6,0.5,0.9696802598745219
37,0.7,50.0,,6.0,0.01,1.0,auc,0.6,0.4,0.9511872971204822
38,0.8,,0.1,,0.001,0.25,auc,,1.0,0.9671919929430544
39,1.0,5.0,1.0,40.0,0.5,0.0,auc,0.7,1.0,0.9742881207060439
40,0.6,5.0,1.0,20.0,0.1,0.001,auc,0.5,1.0,0.9705403475295619
41,,50.0,,6.0,0.001,,auc,,0.9,0.9533069287683068
42,0.8,5.0,1.0,6.0,,0.001,auc,0.5,0.5,0.9735816334450904
43,,,1.0,3.0,0.0001,0.5,auc,0.6,0.8,0.9512180190866879
44,,0.1,10.0,,0.7,1.0,auc,1.0,0.7,0.9741960350214371
45,1.0,0.001,0.01,10.0,0.1,0.75,auc,0.9,0.9,0.973458646492371
46,0.9,0.001,5.0,10.0,0.7,0.5,auc,,0.9,0.9729671799655598
47,0.6,20.0,0.5,6.0,,0.25,auc,0.9,0.5,0.97370446940673
48,,10.0,7.0,15.0,0.0001,1.0,auc,,0.4,0.9578533786967158
49,,,,10.0,0.6,0.25,auc,1.0,0.8,0.9744109944154534
