,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,gamma,eval_metric,colsample_bytree,colsample_bylevel,scores
0,0.8,,7.0,60.0,0.001,0.75,auc,1.0,1.0,0.9447363917818761
1,0.6,5.0,0.01,10.0,0.7,0.0,auc,1.0,0.5,0.8778084472197378
2,,,0.1,6.0,0.0001,0.75,auc,0.4,0.9,1.0
3,0.7,10.0,10.0,3.0,0.1,1.0,auc,,1.0,0.9714852131994988
4,0.8,75.0,5.0,20.0,0.9,0.0,auc,0.7,1.0,0.9051513063475335
5,0.5,5.0,3.0,40.0,0.4,0.001,auc,0.6,0.8,0.8866255699929342
6,,0.1,3.0,60.0,0.6,1.0,auc,0.9,1.0,0.9042453338109688
7,0.9,50.0,3.0,3.0,0.1,0.0,auc,0.7,0.8,0.9694673581441317
8,0.5,,,3.0,0.5,,auc,0.9,0.8,0.8347251027253273
9,1.0,0.001,0.01,,0.9,0.75,auc,,,0.6562998857890465
10,0.7,75.0,3.0,60.0,,0.001,auc,0.4,,0.9626510331990292
11,0.6,75.0,7.0,40.0,0.4,0.001,auc,0.9,0.4,0.9598512993669107
12,0.8,10.0,3.0,40.0,,1.0,auc,0.6,1.0,0.9435528336387021
13,0.5,5.0,5.0,15.0,,0.25,auc,,0.9,0.9005174597063326
14,,20.0,5.0,,0.0001,0.25,auc,1.0,0.7,0.964598157270571
15,0.8,20.0,10.0,15.0,0.4,1.0,auc,1.0,0.4,0.9199877511009493
16,0.7,20.0,7.0,,0.4,,auc,0.4,1.0,0.9189103475879421
17,0.6,20.0,1.0,20.0,0.9,0.5,auc,0.8,0.5,0.8407893137302578
18,0.6,0.001,3.0,20.0,0.1,0.001,auc,0.6,,0.9445371215510981
19,0.9,10.0,5.0,20.0,0.3,0.5,auc,0.6,1.0,0.9341712650159998
20,0.6,5.0,0.1,3.0,0.0001,0.0,auc,0.6,0.8,0.0
21,0.5,20.0,,15.0,,0.75,auc,0.9,1.0,0.936955743905467
22,0.8,0.1,1.0,40.0,0.001,1.0,auc,0.5,0.5,0.9670720114787912
23,1.0,75.0,5.0,10.0,0.001,0.001,auc,0.4,0.6,0.0
24,0.7,75.0,10.0,6.0,0.3,1.0,auc,0.6,0.9,0.9576248382356243
25,,1.0,5.0,15.0,0.5,0.25,auc,0.7,0.7,0.8845640623481381
26,0.9,0.1,3.0,15.0,,0.001,auc,0.7,,0.9116890939141911
27,0.7,20.0,7.0,40.0,0.5,0.5,auc,0.6,,0.92190517909641
28,0.8,,0.01,10.0,0.0001,,auc,0.6,0.5,0.9844030365769496
29,0.7,,0.1,20.0,0.01,1.0,auc,0.6,0.5,0.9734726295210165
30,0.9,1.0,0.1,40.0,0.001,1.0,auc,0.4,0.7,0.903526291153066
31,0.8,1.0,10.0,6.0,0.01,0.001,auc,0.6,1.0,0.9949587824984146
32,0.5,75.0,0.5,40.0,0.9,0.5,auc,0.5,0.6,0.8783928594196283
33,0.9,,,10.0,0.4,0.001,auc,0.7,0.5,0.8938247136053141
34,0.9,0.001,0.5,15.0,0.01,0.001,auc,0.9,0.5,0.9415275173808333
35,,0.001,5.0,40.0,0.7,,auc,1.0,0.6,0.8732064979858178
36,0.7,20.0,7.0,,0.6,,auc,0.8,,0.9049217392623529
37,1.0,,3.0,15.0,0.0001,0.0,auc,0.6,0.5,0.9972602739726029
38,0.9,10.0,10.0,60.0,0.1,0.001,auc,0.9,0.8,0.9635341004968982
39,0.8,1.0,1.0,40.0,0.2,0.0,auc,0.9,,0.9291030981515231
40,0.8,0.001,3.0,,0.0001,0.001,auc,0.5,1.0,1.0
41,,50.0,10.0,60.0,0.3,0.5,auc,0.5,0.9,0.9616063511492008
42,0.9,50.0,0.5,40.0,0.4,,auc,0.5,0.7,0.9280572563264871
43,0.6,5.0,5.0,,0.6,0.0,auc,,0.5,0.8608431444960198
44,0.6,5.0,1.0,40.0,0.3,0.75,auc,,0.8,0.9270936400443425
45,1.0,20.0,1.0,,,1.0,auc,,0.8,0.9593178174671768
46,0.5,,1.0,3.0,0.7,0.001,auc,1.0,0.5,0.7453409756199637
47,1.0,0.001,3.0,,0.4,0.75,auc,1.0,0.7,0.9072942794012391
48,0.7,,10.0,,0.7,0.75,auc,1.0,0.9,0.8027122335741026
49,0.6,0.001,0.5,15.0,0.2,0.5,auc,,0.7,0.9030742918191669
