,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,gamma,eval_metric,colsample_bytree,colsample_bylevel,scores
0,1.0,5.0,10.0,,0.3,0.25,auc,1.0,0.7,0.5267325357617603
1,0.6,10.0,5.0,,0.0001,0.25,auc,,0.8,0.0900105152471083
2,0.9,,10.0,20.0,0.7,0.75,auc,0.7,0.6,0.5084955260599567
3,1.0,1.0,3.0,40.0,0.001,0.25,auc,0.6,0.8,0.32284387834057493
4,0.8,0.1,0.1,10.0,0.4,1.0,auc,,0.4,0.5166835307422177
5,0.6,0.1,,40.0,0.6,0.0,auc,0.5,0.8,0.4461837589032399
6,0.5,75.0,1.0,10.0,0.6,1.0,auc,0.5,0.9,0.44744558855623673
7,0.9,50.0,10.0,6.0,0.001,,auc,0.5,0.4,0.0
8,1.0,20.0,10.0,,0.01,0.001,auc,0.8,0.7,0.06924587822153443
9,0.6,0.001,0.01,,0.0001,0.001,auc,1.0,0.6,0.32033410709679977
10,0.5,50.0,0.1,3.0,0.6,,auc,1.0,0.9,0.4367418606035355
11,0.5,75.0,0.1,,0.01,0.5,auc,0.5,0.4,0.0
12,,10.0,0.5,20.0,0.1,0.001,auc,0.9,,0.46001825288177295
13,,1.0,,40.0,0.6,0.25,auc,1.0,0.9,0.5248516953355951
14,0.8,20.0,0.5,10.0,,,auc,0.6,0.9,0.4795210602543499
15,,0.1,3.0,3.0,0.01,0.25,auc,0.9,0.6,0.0018927444794952682
16,0.9,0.001,,,0.1,0.25,auc,,0.7,0.4732496081582445
17,0.5,10.0,0.1,60.0,0.001,0.0,auc,1.0,0.7,0.07365434597146994
18,0.6,0.1,0.1,15.0,0.3,0.5,auc,0.9,1.0,0.49969843064896935
19,0.8,100.0,5.0,60.0,0.6,0.75,auc,0.6,0.5,0.46757931075531217
20,,0.1,3.0,15.0,0.9,0.5,auc,0.7,,0.5299029819653593
21,0.6,,0.1,15.0,0.0001,0.25,auc,0.8,0.6,0.32662936729956554
22,0.5,0.1,7.0,3.0,0.001,,auc,1.0,0.4,0.0
23,0.9,5.0,,10.0,0.3,0.5,auc,0.6,0.5,0.4984108088804238
24,0.8,5.0,5.0,3.0,0.001,1.0,auc,1.0,0.6,0.00693411106481757
25,0.8,75.0,7.0,6.0,0.6,1.0,auc,0.6,0.7,0.4877229529988295
26,0.8,100.0,0.01,60.0,0.4,0.75,auc,1.0,0.6,0.47638632621074145
27,0.5,100.0,5.0,6.0,,0.0,auc,1.0,1.0,0.4260440846774993
28,0.9,0.001,0.1,3.0,0.0001,1.0,auc,0.6,0.6,0.0
29,0.7,20.0,1.0,20.0,0.7,0.0,auc,0.5,0.5,0.4701049540701942
30,0.9,10.0,0.01,3.0,,0.25,auc,0.6,0.4,0.3863956510525167
31,0.6,0.1,1.0,3.0,0.0001,0.5,auc,0.7,0.4,0.0
32,,75.0,1.0,3.0,0.7,0.25,auc,0.7,0.7,0.47388052298474304
33,0.5,1.0,7.0,10.0,0.9,0.001,auc,0.4,1.0,0.4852191337817193
34,0.7,75.0,0.1,,0.4,1.0,auc,0.8,0.8,0.46695633196436714
35,0.9,5.0,3.0,6.0,0.1,0.001,auc,,0.8,0.4587663432732178
36,0.5,1.0,0.5,6.0,0.2,0.0,auc,0.7,0.7,0.48835585183421626
37,0.6,0.1,,10.0,0.1,1.0,auc,0.5,,0.46129198658809994
38,0.9,0.001,,20.0,0.6,0.25,auc,0.6,,0.4764160863440668
39,0.7,100.0,,60.0,0.0001,0.5,auc,1.0,0.8,0.010072813126202805
40,1.0,,3.0,60.0,0.5,0.75,auc,0.8,0.4,0.5078487391623514
41,0.9,50.0,3.0,6.0,0.3,,auc,0.9,0.9,0.49778783008947886
42,0.9,10.0,3.0,20.0,0.01,0.0,auc,0.5,0.7,0.046568656627581695
43,0.8,1.0,5.0,60.0,0.001,0.001,auc,0.6,0.6,0.17499950399777792
44,0.7,10.0,3.0,3.0,0.7,0.001,auc,0.7,,0.5103942225661171
45,0.8,50.0,7.0,3.0,0.9,0.0,auc,0.5,0.7,0.45877427930877135
46,0.9,0.1,0.1,,0.01,0.001,auc,0.9,0.9,0.35117750927524155
47,0.8,10.0,0.1,,0.6,0.0,auc,0.7,1.0,0.5311330674761423
48,1.0,,1.0,10.0,0.0001,0.5,auc,0.7,1.0,0.37255917306509534
49,0.5,5.0,5.0,20.0,0.6,0.75,auc,,0.6,0.5078804833045653
