,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,gamma,eval_metric,colsample_bytree,colsample_bylevel,scores
0,,1,7,3,,,auc,0.9,0.6,0.951536388
1,0.6,100,10,40,0.1,0.25,auc,0.9,0.6,0.926034011
2,0.8,100,,15,0.001,,auc,1,0.9,0.577931431
3,,50,7,40,0.1,0.001,auc,0.5,,0.94965056
4,0.8,1,10,40,0.4,0,auc,1,0.5,0.953688136
5,0.8,5,10,40,0.4,0.25,auc,,0.6,0.959507983
6,0.7,20,3,3,0.6,0,auc,0.4,0.6,0.939525719
7,,75,1,20,0.3,0.001,auc,0.5,1,0.96279581
8,0.8,0.1,5,40,0.6,0.001,auc,0.8,,0.949552709
9,,,,60,0.5,0.75,auc,0.8,0.9,0.965563935
10,0.8,0.001,7,6,0.4,0.5,auc,0.8,0.7,0.955928621
11,1,0.001,1,15,0.6,,auc,1,0.6,0.958215208
12,0.5,0.001,10,6,0.001,0.001,auc,0.5,0.7,0.901111174
13,0.8,,0.1,,0.01,0.75,auc,0.7,1,0.91631261
14,0.7,,1,15,0.4,0.75,auc,0.5,1,0.95715796
15,0.9,10,5,10,0.4,0.75,auc,0.6,0.7,0.963844078
16,0.8,10,1,40,0.3,0.001,auc,1,,0.966133737
17,0.8,0.1,1,40,0.001,0,auc,,0.9,0.952785213
18,0.8,0.001,0.01,6,0.5,0.25,auc,0.6,0.4,0.895954046
19,0.5,20,0.5,40,0.2,0,auc,,0.4,0.953563609
20,0.5,10,10,10,0.4,0,auc,0.6,0.7,0.947991802
21,0.6,0.001,0.5,15,0.5,0,auc,0.9,0.8,0.941374745
22,0.7,10,1,20,0.3,0.75,auc,,1,0.962333385
23,0.9,50,0.5,3,,,auc,0.5,0.9,0.94306612
24,1,0.001,5,10,0.9,0.75,auc,0.6,0.6,0.945580056
25,,10,1,6,0.4,0,auc,1,,0.965928634
26,0.7,,0.01,6,0.5,0,auc,0.6,0.4,0.947259161
27,1,5,,60,0.3,0.75,auc,0.4,,0.965209172
28,0.6,0.001,0.5,10,0.0001,0,auc,0.7,0.4,0.923617646
29,0.9,50,10,10,0.5,0.001,auc,0.6,0.7,0.959375357
30,,100,,10,0.7,0.001,auc,0.8,0.4,0.95978716
31,0.6,10,,3,0.4,0.75,auc,0.9,0.4,0.940453091
32,0.6,100,10,20,0.5,1,auc,,0.4,0.946882799
33,0.7,75,5,15,0.7,0.5,auc,0.9,,0.95615253
34,0.5,,0.1,6,0.7,,auc,1,0.7,0.930059617
35,0.5,,10,6,0.3,0.5,auc,0.4,0.8,0.946582822
36,0.9,,3,20,0.1,0.25,auc,1,,0.967566026
37,0.6,,0.5,60,0.7,0.5,auc,,0.5,0.939053333
38,0.6,75,0.01,10,0.001,,auc,0.7,0.7,0.596473275
39,0.5,0.1,0.01,,0.3,0.001,auc,0.7,0.5,0.941902945
40,0.9,50,5,20,0.01,0.75,auc,0.5,0.6,0.820111262
41,,100,0.01,20,0.4,0,auc,0.6,0.7,0.958891165
42,0.5,50,3,6,0.3,0,auc,0.9,,0.954740219
43,0.9,20,0.01,3,0.3,0,auc,0.5,0.4,0.93947523
44,0.7,100,,,0.6,0.75,auc,0.5,0.7,0.953396079
45,0.7,5,,3,0.01,0.5,auc,0.5,0.5,0.8365148
46,1,1,,60,0.2,0.75,auc,0.9,0.5,0.964874192
47,0.7,10,0.1,6,0.7,0.75,auc,0.9,1,0.95403154
48,,1,10,6,0.0001,1,auc,0.7,,0.898013028
49,0.7,,3,,0.9,,auc,1,0.9,0.935752994
